<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;05.10.2018;10:59;115270;115290;115200;115200;199
SPFB.RTS-12.18;1;05.10.2018;11:00;115220;115290;115200;115220;502
SPFB.RTS-12.18;1;05.10.2018;11:01;115240;115260;115160;115160;818
SPFB.RTS-12.18;1;05.10.2018;11:02;115160;115200;115130;115140;797
SPFB.RTS-12.18;1;05.10.2018;11:03;115140;115170;115120;115130;669
SPFB.RTS-12.18;1;05.10.2018;11:04;115140;115140;115000;115010;2162
SPFB.RTS-12.18;1;05.10.2018;11:05;115020;115050;114990;115030;860
SPFB.RTS-12.18;1;05.10.2018;11:06;115020;115180;115000;115090;1911
SPFB.RTS-12.18;1;05.10.2018;11:07;115110;115210;115090;115180;1493
SPFB.RTS-12.18;1;05.10.2018;11:08;115190;115290;115130;115130;857
SPFB.RTS-12.18;1;05.10.2018;11:09;115130;115200;115130;115200;290
SPFB.RTS-12.18;1;05.10.2018;11:10;115200;115250;115170;115240;268
SPFB.RTS-12.18;1;05.10.2018;11:11;115240;115280;115180;115250;780
SPFB.RTS-12.18;1;05.10.2018;11:12;115230;115360;115230;115280;1423
SPFB.RTS-12.18;1;05.10.2018;11:13;115280;115350;115260;115320;537
SPFB.RTS-12.18;1;05.10.2018;11:14;115320;115350;115290;115320;284
SPFB.RTS-12.18;1;05.10.2018;11:15;115330;115340;115240;115280;446
SPFB.RTS-12.18;1;05.10.2018;11:16;115290;115330;115250;115270;946
SPFB.RTS-12.18;1;05.10.2018;11:17;115270;115330;115260;115290;422
SPFB.RTS-12.18;1;05.10.2018;11:18;115300;115300;115250;115260;321
SPFB.RTS-12.18;1;05.10.2018;11:19;115260;115300;115250;115280;250
SPFB.RTS-12.18;1;05.10.2018;11:20;115280;115310;115260;115270;243
SPFB.RTS-12.18;1;05.10.2018;11:21;115280;115300;115230;115230;631
SPFB.RTS-12.18;1;05.10.2018;11:22;115230;115240;115140;115210;766
SPFB.RTS-12.18;1;05.10.2018;11:23;115200;115220;115130;115190;863
SPFB.RTS-12.18;1;05.10.2018;11:24;115200;115220;115170;115190;158
SPFB.RTS-12.18;1;05.10.2018;11:25;115190;115200;115160;115180;280
SPFB.RTS-12.18;1;05.10.2018;11:26;115180;115180;115090;115130;577
SPFB.RTS-12.18;1;05.10.2018;11:27;115140;115150;115080;115120;592
SPFB.RTS-12.18;1;05.10.2018;11:28;115110;115120;114890;114940;2486
SPFB.RTS-12.18;1;05.10.2018;11:29;114940;114940;114720;114800;2174
SPFB.RTS-12.18;1;05.10.2018;11:30;114800;114870;114790;114800;1159
SPFB.RTS-12.18;1;05.10.2018;11:31;114810;114850;114790;114800;921
SPFB.RTS-12.18;1;05.10.2018;11:32;114800;114810;114730;114790;1121
SPFB.RTS-12.18;1;05.10.2018;11:33;114800;114810;114710;114800;1087
SPFB.RTS-12.18;1;05.10.2018;11:34;114800;114820;114750;114810;708
SPFB.RTS-12.18;1;05.10.2018;11:35;114810;114840;114730;114740;953
SPFB.RTS-12.18;1;05.10.2018;11:36;114740;114800;114620;114650;2062
SPFB.RTS-12.18;1;05.10.2018;11:37;114660;114660;114550;114580;1494
SPFB.RTS-12.18;1;05.10.2018;11:38;114570;114590;114430;114440;2393
SPFB.RTS-12.18;1;05.10.2018;11:39;114440;114530;114430;114520;816
SPFB.RTS-12.18;1;05.10.2018;11:40;114500;114510;114450;114470;691
SPFB.RTS-12.18;1;05.10.2018;11:41;114460;114500;114390;114480;1599
SPFB.RTS-12.18;1;05.10.2018;11:42;114470;114540;114470;114520;899
SPFB.RTS-12.18;1;05.10.2018;11:43;114530;114580;114510;114560;825
SPFB.RTS-12.18;1;05.10.2018;11:44;114570;114610;114470;114480;776
SPFB.RTS-12.18;1;05.10.2018;11:45;114480;114530;114440;114470;633
SPFB.RTS-12.18;1;05.10.2018;11:46;114460;114480;114350;114350;1608
SPFB.RTS-12.18;1;05.10.2018;11:47;114360;114380;114250;114310;3891
SPFB.RTS-12.18;1;05.10.2018;11:48;114310;114430;114300;114400;1481
SPFB.RTS-12.18;1;05.10.2018;11:49;114410;114430;114340;114390;673
SPFB.RTS-12.18;1;05.10.2018;11:50;114400;114410;114350;114410;702
SPFB.RTS-12.18;1;05.10.2018;11:51;114420;114570;114390;114510;1758
SPFB.RTS-12.18;1;05.10.2018;11:52;114510;114520;114440;114500;643
SPFB.RTS-12.18;1;05.10.2018;11:53;114490;114520;114440;114490;666
SPFB.RTS-12.18;1;05.10.2018;11:54;114500;114530;114470;114480;471
SPFB.RTS-12.18;1;05.10.2018;11:55;114470;114520;114470;114480;209
SPFB.RTS-12.18;1;05.10.2018;11:56;114470;114500;114400;114440;519
SPFB.RTS-12.18;1;05.10.2018;11:57;114440;114500;114430;114490;863
SPFB.RTS-12.18;1;05.10.2018;11:58;114480;114480;114440;114450;166
SPFB.RTS-12.18;1;05.10.2018;11:59;114450;114480;114430;114480;226
SPFB.RTS-12.18;1;05.10.2018;12:00;114490;114530;114430;114480;683
SPFB.RTS-12.18;1;05.10.2018;12:01;114470;114690;114460;114670;2510
SPFB.RTS-12.18;1;05.10.2018;12:02;114670;114670;114600;114610;691
SPFB.RTS-12.18;1;05.10.2018;12:03;114630;114690;114610;114660;816
SPFB.RTS-12.18;1;05.10.2018;12:04;114670;114680;114610;114610;447
SPFB.RTS-12.18;1;05.10.2018;12:05;114620;114630;114570;114600;503
SPFB.RTS-12.18;1;05.10.2018;12:06;114600;114720;114600;114690;1030
SPFB.RTS-12.18;1;05.10.2018;12:07;114700;114810;114690;114790;1655
SPFB.RTS-12.18;1;05.10.2018;12:08;114780;114850;114750;114850;1621
SPFB.RTS-12.18;1;05.10.2018;12:09;114850;114900;114770;114870;1507
SPFB.RTS-12.18;1;05.10.2018;12:10;114880;114960;114860;114880;3560
SPFB.RTS-12.18;1;05.10.2018;12:11;114890;114940;114850;114930;1478
SPFB.RTS-12.18;1;05.10.2018;12:12;114930;114970;114900;114900;811
SPFB.RTS-12.18;1;05.10.2018;12:13;114900;114960;114860;114950;1737
SPFB.RTS-12.18;1;05.10.2018;12:14;114960;115000;114940;114950;1200
SPFB.RTS-12.18;1;05.10.2018;12:15;114960;114960;114860;114900;2204
SPFB.RTS-12.18;1;05.10.2018;12:16;114890;114900;114810;114830;1170
SPFB.RTS-12.18;1;05.10.2018;12:17;114830;114890;114800;114880;1125
SPFB.RTS-12.18;1;05.10.2018;12:18;114880;114970;114860;114970;1039
SPFB.RTS-12.18;1;05.10.2018;12:19;114970;115090;114950;114950;2853
SPFB.RTS-12.18;1;05.10.2018;12:20;114950;114970;114860;114880;1248
